invocation: /home/rob/github/upside2-md/obj/upside --duration 5000 --frame-interval 50 --temperature 0.7999999999999999,0.7999999999999999,0.7999999999999999,0.7999999999999999,0.7999999999999999,0.7999999999999999,0.7999999999999999,0.7999999999999999 --seed 1 --disable-z-recentering .//outputs/lateral_test/1qhj.run.0.up .//outputs/lateral_test/1qhj.run.1.up .//outputs/lateral_test/1qhj.run.2.up .//outputs/lateral_test/1qhj.run.3.up .//outputs/lateral_test/1qhj.run.4.up .//outputs/lateral_test/1qhj.run.5.up .//outputs/lateral_test/1qhj.run.6.up .//outputs/lateral_test/1qhj.run.7.up
random seed: 1
.//outputs/lateral_test/1qhj.run.0.up
n_atom 684

.//outputs/lateral_test/1qhj.run.1.up
n_atom 684

.//outputs/lateral_test/1qhj.run.2.up
n_atom 684

.//outputs/lateral_test/1qhj.run.3.up
n_atom 684

.//outputs/lateral_test/1qhj.run.4.up
n_atom 684

.//outputs/lateral_test/1qhj.run.5.up
n_atom 684

.//outputs/lateral_test/1qhj.run.6.up
n_atom 684

.//outputs/lateral_test/1qhj.run.7.up
n_atom 684


0 0.80
1 0.80
2 0.80
3 0.80
4 0.80
5 0.80
6 0.80
7 0.80

1050 / 5000 elapsed  5 system 0.80 temp 309.5 hbonds, Rg  18.1 A, potential  -655.17
1050 / 5000 elapsed  6 system 0.80 temp 297.8 hbonds, Rg  17.9 A, potential  -593.38
1050 / 5000 elapsed  2 system 0.80 temp 305.9 hbonds, Rg  17.9 A, potential  -593.72
1100 / 5000 elapsed  4 system 0.80 temp 299.2 hbonds, Rg  17.6 A, potential  -615.12
1100 / 5000 elapsed  3 system 0.80 temp 305.8 hbonds, Rg  17.8 A, potential  -592.92
1100 / 5000 elapsed  0 system 0.80 temp 302.3 hbonds, Rg  18.0 A, potential  -609.81
1100 / 5000 elapsed  7 system 0.80 temp 299.9 hbonds, Rg  17.9 A, potential  -647.25
1100 / 5000 elapsed  1 system 0.80 temp 293.5 hbonds, Rg  17.9 A, potential  -595.90
1100 / 5000 elapsed  5 system 0.80 temp 306.3 hbonds, Rg  18.1 A, potential  -633.15
1100 / 5000 elapsed  6 system 0.80 temp 295.4 hbonds, Rg  18.0 A, potential  -562.37
1150 / 5000 elapsed  4 system 0.80 temp 289.0 hbonds, Rg  17.8 A, potential  -605.30
1100 / 5000 elapsed  2 system 0.80 temp 298.2 hbonds, Rg  18.0 A, potential  -590.67
1150 / 5000 elapsed  3 system 0.80 temp 305.5 hbonds, Rg  17.8 A, potential  -638.70
1150 / 5000 elapsed  7 system 0.80 temp 300.4 hbonds, Rg  17.9 A, potential  -592.37
1150 / 5000 elapsed  0 system 0.80 temp 305.3 hbonds, Rg  18.1 A, potential  -633.67
1150 / 5000 elapsed  1 system 0.80 temp 297.9 hbonds, Rg  18.0 A, potential  -602.79
1150 / 5000 elapsed  5 system 0.80 temp 305.3 hbonds, Rg  18.0 A, potential  -610.58
1200 / 5000 elapsed  4 system 0.80 temp 295.4 hbonds, Rg  17.9 A, potential  -610.87
1150 / 5000 elapsed  6 system 0.80 temp 295.0 hbonds, Rg  17.8 A, potential  -618.26
1200 / 5000 elapsed  3 system 0.80 temp 305.8 hbonds, Rg  17.7 A, potential  -645.34
1200 / 5000 elapsed  7 system 0.80 temp 302.2 hbonds, Rg  17.8 A, potential  -642.83
1150 / 5000 elapsed  2 system 0.80 temp 297.3 hbonds, Rg  17.9 A, potential  -631.68
1200 / 5000 elapsed  0 system 0.80 temp 300.2 hbonds, Rg  18.2 A, potential  -629.16
1200 / 5000 elapsed  1 system 0.80 temp 281.6 hbonds, Rg  17.9 A, potential  -576.79
